,Clinical Trial Drug Name,DrugBank Drug Name,Match Score,First Approval Date,Highest Development Phase
0,erlotinib hydrochloride,erlotinib,100.0,2004.0,4.0
1,gemcitabine hydrochloride,gemcitabine,100.0,,2.0
2,oxaliplatin,oxaliplatin,100.0,2002.0,4.0
3,srx246,srx-246,92.3076923076923,,
6,s-3304,s-3304,100.0,,
8,aflibercept,aflibercept,100.0,2011.0,4.0
9,milatuzumab,milatuzumab,100.0,,2.0
10,dovitinib (tki258),dovitinib,100.0,,
11,temozolomide,temozolomide,100.0,1999.0,4.0
12,aerosolized calfactant,calfactant,100.0,1998.0,4.0
13,chlorine dioxide sterilization,chlorine,100.0,,2.0
16,calcitriol,calcitriol,100.0,,
26,cisplatin,cisplatin,100.0,,
27,ipilimumab,ipilimumab,100.0,2011.0,4.0
28,nivolumab,nivolumab,100.0,2015.0,4.0
29,cilostazol,cilostazol,100.0,1999.0,4.0
33,inhaled treprostinil,treprostinil,100.0,2002.0,4.0
34,cefprozil,cefprozil,100.0,,
36,fermented papaya preparation,papaya,100.0,,
37,bms-986419,bms-986141,90.0,,2.0
38,moxifloxacin,moxifloxacin,100.0,1999.0,4.0
39,pregabalin,pregabalin,100.0,2004.0,4.0
40,zonisamide,zonisamide,100.0,2000.0,4.0
44,veltuzumab,veltuzumab,100.0,,2.0
48,docetaxel,docetaxel,100.0,1996.0,4.0
55,"cp-724,714",cp-724714,94.73684210526316,,2.0
56,idelalisib,idelalisib,100.0,,
57,rituximab,rituximab,100.0,1997.0,4.0
58,bendamustine,bendamustine,100.0,2008.0,4.0
60,trabectedin,trabectedin,100.0,2007.0,4.0
61,doxorubicin,doxorubicin,100.0,,4.0
62,ifosfamide,ifosfamide,100.0,1988.0,4.0
63,recombinant human interleukin-15 (rhil-15),interleukin-10,92.85714285714286,,2.0
64,mogamulizumab,mogamulizumab,100.0,2018.0,4.0
66,busulfan,busulfan,100.0,1954.0,4.0
67,clofarabine,clofarabine,100.0,2004.0,4.0
68,cobomarsen,cobomarsen,100.0,,2.0
69,vorinostat,vorinostat,100.0,2006.0,4.0
73,panitumumab,panitumumab,100.0,2006.0,4.0
74,capecitabine,capecitabine,100.0,1998.0,4.0
75,fluorouracil,fluorouracil,100.0,,
76,vitamin d3 (cholecalciferol),cholecalciferol,93.75,1999.0,4.0
79,clomiphene,enclomiphene,90.9090909090909,,3.0
80,ropinirole controlled-release (requip cr) for rls,ropinirole,100.0,1997.0,4.0
82,idarubicin,idarubicin,100.0,1990.0,4.0
83,cytarabine,cytarabine,100.0,,
84,lenalidomide (revlimid®),lenalidomide,100.0,2005.0,4.0
88,pemetrexed & gemcitabine,pemetrexed,100.0,2004.0,4.0
90,colchicine,colchicine,100.0,1961.0,4.0
91,pembrolizumab,pembrolizumab,100.0,2014.0,4.0
